,領域,向度,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
181,2,自然科學與技術,7507003,1,建築與防震Aseismic Concepts for Building Structures,蔡中暉,2  2/0/0,2,通識,"二7,8",共同教室大樓201,60
182,2,自然科學與技術,7507008,1,漫談人工智慧Introduction to Artificial Intelligence,李俊宏,2  2/0/0,2,通識,"一10,11",共同教室大樓212,90
183,2,資訊能力課程,7507009,1,資訊安全導論Introduction to Information Security,王俊堯 黃柏森,2  2/0/0,2,通識,"三11,12",電算中心215教室,70
184,2,資訊能力課程,7507013,1,資訊科技應用Introduction to Information Security (程式設計相關/Programming related),陳昱仁,2  2/0/0,2,通識,"五2,3",電算中心217教室,40
185,2,資訊能力課程,7507013,2,資訊科技應用Introduction to Information Security (程式設計相關/Programming related),陳昱仁,2  2/0/0,2,通識,"四2,3",電算中心214教室,40
186,2,資訊能力課程,7507013,3,資訊科技應用Introduction to Information Security (程式設計相關/Programming related),余泳儒,2  2/0/0,2,通識,"四11,12",電算中心216教室,40
187,2,資訊能力課程,7507013,4,資訊科技應用Introduction to Information Security (程式設計相關/Programming related),洪嘉慶,2  2/0/0,2,通識,"一11,12",電算中心217教室,40
188,2,資訊能力課程,7507013,5,資訊科技應用Introduction to Information Security (程式設計相關/Programming related),鍾峰宜,2  2/0/0,2,通識,"三8,9",電算中心216教室,40
189,2,能源、環境與生態,7507014,1,綠色建築概論An Introduction to Green Architecture,蔡中暉,2  2/0/0,2,通識,"三7,8",共同教室大樓201,60
190,2,能源、環境與生態,7507014,2,綠色建築概論An Introduction to Green Architecture,蔡中暉,2  2/0/0,2,通識,"三9,10",共同教室大樓201,60
191,2,資訊能力課程,7507018,1,巨量資料分析與應用 Analytics and Applications (程式設計相關/Programming related),張漢呈,2  2/0/0,2,通識,"四11,12",電算中心215教室,40
192,2,資訊能力課程,7507019,1,資訊創意Information Innovation (程式設計相關/Programming related),范崇碩,2  2/0/0,2,通識,"二4,5",電算中心214教室,38
193,2,資訊能力課程,7507020,1,計算思維與程式設計Computational Thinking and Programming (程式設計相關/Programming related),范崇碩,2  2/0/0,2,通識,"二10,11",電算中心214教室,38
194,2,資訊能力課程,7507020,2,計算思維與程式設計Computational Thinking and Programming (程式設計相關/Programming related),范崇碩,2  2/0/0,2,通識,"一10,11",電算中心214教室,38
195,2,資訊能力課程,7507021,1,網頁程式設計Web Programming (程式設計相關/Programming related),洪嘉慶,2  2/0/0,2,通識,"四2,3",電算中心217教室,47
196,2,資訊能力課程,7507021,2,網頁程式設計Web Programming (程式設計相關/Programming related),洪嘉慶,2  2/0/0,2,通識,"四4,5",電算中心217教室,47
197,2,資訊能力課程,7507022,1,機器人探索與應用Robotic Exploration and Applications (程式設計相關/Programming related),范崇碩,2  2/0/0,2,通識,"三10,11",共同教室大樓302TEAL教室,40
198,2,資訊能力課程,7507022,2,機器人探索與應用Robotic Exploration and Applications (程式設計相關/Programming related),范崇碩,2  2/0/0,2,通識,"三4,5",共同教室大樓302TEAL教室,40
199,2,自然科學與技術,7507023,1,生活中的建築與土木工程Architecture and Civil Engineering in Life,潘賽智,2  2/0/0,2,通識,"一9,10",共同教室大樓206,60
200,2,自然科學與技術,7507023,2,生活中的建築與土木工程Architecture and Civil Engineering in Life,潘賽智,2  2/0/0,2,通識,"一11,12",共同教室大樓206,60
201,2,資訊能力課程,7507024,1,資料科學分析與應用Introduction to Machine Learning- Using Python,王俊堯,2  2/0/0,2,通識,"二11,12",電算中心217教室,47
202,2,資訊能力課程,7507025,1,程式設計初探與實作Fundamentals and Practice of Programming Language,簡立仁,2  2/0/0,2,通識,"二8,9",電算中心217教室,47
